date,ffk_rain_station,fld_rainfall_amount
2023-09-25,SMX,0
2023-09-25,SFOC,0
2023-09-25,SBA,0
2023-09-25,SAN,0.01
2023-09-25,OXR,0
2023-09-25,NFG,0
2023-09-25,MQO,0
2023-09-25,LGB,0
2023-09-25,LAX,0
2023-09-25,EKA,0.01
2023-09-25,DEMX,0.01
2023-09-25,CEC,0.75
2023-09-25,CAPS,0
2023-09-25,CADR,0
2023-09-25,8Q3,0
2023-09-24,VTU,0
2023-09-24,STS,0.01
2023-09-24,SRU,0
2023-09-24,SNA,0
2023-09-24,SMX,0
2023-09-24,SFOC,0
2023-09-24,SBA,0
2023-09-24,SAN,0
2023-09-24,OXR,0
2023-09-24,NFG,0
2023-09-24,MQO,0
2023-09-24,LGB,0
2023-09-24,LAX,0
2023-09-24,EKA,0.02
2023-09-24,DEMX,0
2023-09-24,CEC,0
2023-09-24,CAPS,0
2023-09-24,CADR,0
2023-09-24,8Q3,0.01
2023-09-23,VTU,0
2023-09-23,STS,0
2023-09-23,SRU,0
2023-09-23,SNA,0.01
2023-09-23,SMX,0
2023-09-23,SFOC,0
2023-09-23,SBA,0.01
2023-09-23,SAN,0.04
2023-09-23,OXR,0
2023-09-23,NFG,0.01
2023-09-23,MQO,0
2023-09-23,LGB,0.02
2023-09-23,LAX,0
2023-09-23,EKA,0
2023-09-23,DEMX,0.31
2023-09-23,CEC,0.01
2023-09-23,CAPS,0
2023-09-23,CADR,0
2023-09-23,8Q3,0
2023-09-22,VTU,0
2023-09-22,STS,0
2023-09-22,SRU,0
2023-09-22,SNA,0
2023-09-22,SMX,0
2023-09-22,SFOC,0
2023-09-22,SBA,0
2023-09-22,SAN,0
2023-09-22,OXR,0
2023-09-22,NFG,0
2023-09-22,MQO,0
2023-09-22,LGB,0
2023-09-22,LAX,0
2023-09-22,EKA,0
2023-09-22,DEMX,0
2023-09-22,CEC,0
2023-09-22,CAPS,0
2023-09-22,CADR,0
2023-09-22,8Q3,0
2023-09-21,VTU,0
2023-09-21,STS,0
2023-09-21,SRU,0.01
2023-09-21,SNA,0
2023-09-21,SMX,0
2023-09-21,SFOC,0
2023-09-21,SBA,0
2023-09-21,SAN,0
2023-09-21,OXR,0
2023-09-21,NFG,0
2023-09-21,MQO,0
2023-09-21,LGB,0
2023-09-21,LAX,0
2023-09-21,EKA,0
2023-09-21,DEMX,0
2023-09-21,CEC,0
2023-09-21,CAPS,0
2023-09-21,CADR,0
2023-09-21,8Q3,0
2023-09-20,VTU,0
2023-09-20,STS,0
2023-09-20,SRU,0
2023-09-20,SNA,0
2023-09-20,SMX,0
2023-09-20,SFOC,0
2023-09-20,SBA,0
2023-09-20,SAN,0
2023-09-20,OXR,0
2023-09-20,NFG,0
2023-09-20,MQO,0
2023-09-20,LGB,0
2023-09-20,LAX,0
2023-09-20,EKA,0.01
2023-09-20,DEMX,0
2023-09-20,CEC,0
2023-09-20,CAPS,0
2023-09-20,CADR,0.01
2023-09-20,8Q3,0
2023-09-19,VTU,0
2023-09-19,STS,0
2023-09-19,SRU,0
2023-09-19,SNA,0
2023-09-19,SMX,0
2023-09-19,SFOC,0
2023-09-19,SBA,0
2023-09-19,SAN,0.01
2023-09-19,OXR,0
2023-09-19,NFG,0
2023-09-19,MQO,0
2023-09-19,LGB,0
2023-09-19,LAX,0
2023-09-19,EKA,0
2023-09-19,DEMX,0
2023-09-19,CEC,0.01
2023-09-19,CAPS,0
2023-09-19,CADR,0
2023-09-19,8Q3,0
2023-09-18,VTU,0
2023-09-18,STS,0
2023-09-18,SRU,0
2023-09-18,SNA,0
2023-09-18,SMX,0
2023-09-18,SFOC,0
2023-09-18,SBA,0
2023-09-18,SAN,0
2023-09-18,OXR,0
2023-09-18,NFG,0
2023-09-18,MQO,0
2023-09-18,LGB,0
2023-09-18,LAX,0.03
2023-09-18,EKA,0.01
2023-09-18,DEMX,0
2023-09-18,CEC,0
2023-09-18,CAPS,0
2023-09-18,CADR,0
2023-09-18,8Q3,0
2023-09-17,VTU,0
2023-09-17,STS,0
2023-09-17,SRU,0
2023-09-17,SNA,0
2023-09-17,SMX,0
2023-09-17,SFOC,0
2023-09-17,SBA,0
2023-09-17,SAN,0
2023-09-17,OXR,0
2023-09-17,NFG,0.01
2023-09-17,MQO,0
2023-09-17,LGB,0
2023-09-17,LAX,0
2023-09-17,EKA,0.04
2023-09-17,DEMX,0
2023-09-17,CEC,0.01
2023-09-17,CAPS,0
2023-09-17,CADR,0
2023-09-17,8Q3,0
2023-09-16,VTU,0
2023-09-16,STS,0
2023-09-16,SRU,0
2023-09-16,SNA,0
2023-09-16,SMX,0
2023-09-16,SFOC,0
2023-09-16,SBA,0
2023-09-16,SAN,0
2023-09-16,OXR,0
2023-09-16,NFG,0
2023-09-16,MQO,0
2023-09-16,LGB,0
2023-09-16,LAX,0
2023-09-16,EKA,0.04
2023-09-16,DEMX,0
2023-09-16,CEC,0
2023-09-16,CAPS,0
2023-09-16,CADR,0
2023-09-16,8Q3,0
2023-09-15,VTU,0
2023-09-15,STS,0.03
2023-09-15,SRU,0
2023-09-15,SNA,0
2023-09-15,SMX,0
2023-09-15,SFOC,0
2023-09-15,SBA,0
2023-09-15,SAN,0
2023-09-15,OXR,0
2023-09-15,NFG,0
2023-09-15,MQO,0
2023-09-15,LGB,0
2023-09-15,LAX,0
2023-09-15,EKA,0.01
2023-09-15,DEMX,0
2023-09-15,CEC,0.01
2023-09-15,CAPS,0
2023-09-15,CADR,0
2023-09-15,8Q3,0
2023-09-14,VTU,0
2023-09-14,STS,0.03
2023-09-14,SRU,0
2023-09-14,SNA,0
2023-09-14,SMX,0
2023-09-14,SFOC,0
2023-09-14,SBA,0
2023-09-14,SAN,0
2023-09-14,OXR,0
2023-09-14,NFG,0
2023-09-14,MQO,0
2023-09-14,LGB,0
2023-09-14,LAX,0
2023-09-14,EKA,0.01
2023-09-14,DEMX,0
2023-09-14,CEC,0.01
2023-09-14,CAPS,0
2023-09-14,CADR,0
2023-09-14,8Q3,0
2023-09-13,VTU,0
2023-09-13,STS,0.03
2023-09-13,SRU,0
2023-09-13,SNA,0
2023-09-13,SMX,0
2023-09-13,SFOC,0
2023-09-13,SBA,0
2023-09-13,SAN,0
2023-09-13,OXR,0
2023-09-13,NFG,0
2023-09-13,MQO,0
2023-09-13,LGB,0
2023-09-13,LAX,0
2023-09-13,EKA,0.01
2023-09-13,DEMX,0
2023-09-13,CEC,0.01
2023-09-13,CAPS,0
2023-09-13,CADR,0
2023-09-13,8Q3,0
2023-09-12,VTU,0
2023-09-12,STS,0.03
2023-09-12,SRU,0
2023-09-12,SNA,0
2023-09-12,SMX,0
2023-09-12,SFOC,0
2023-09-12,SBA,0
2023-09-12,SAN,0
2023-09-12,OXR,0
2023-09-12,NFG,0
2023-09-12,MQO,0
2023-09-12,LGB,0
2023-09-12,LAX,0
2023-09-12,EKA,0.01
2023-09-12,DEMX,0
2023-09-12,CEC,0.01
2023-09-12,CAPS,0
2023-09-12,CADR,0
2023-09-12,8Q3,0
2023-09-11,VTU,0
2023-09-11,STS,0
2023-09-11,SRU,0
2023-09-11,SNA,0.19
2023-09-11,SMX,0
2023-09-11,SFOC,0
2023-09-11,SBA,0.02
2023-09-11,SAN,0.03
2023-09-11,OXR,0.01
2023-09-11,NFG,0
2023-09-11,MQO,0
2023-09-11,LGB,0.1
2023-09-11,LAX,0
2023-09-11,EKA,0
2023-09-11,DEMX,0.07
2023-09-11,CEC,0
2023-09-11,CAPS,0
2023-09-11,CADR,0.01
2023-09-11,8Q3,0
2023-09-10,VTU,0.06
2023-09-10,STS,0.03
2023-09-10,SRU,0
2023-09-10,SNA,0.12
2023-09-10,SMX,0
2023-09-10,SFOC,0
2023-09-10,SBA,0.12
2023-09-10,SAN,0
2023-09-10,OXR,0
2023-09-10,NFG,0.02
2023-09-10,MQO,0.01
2023-09-10,LGB,0.12
2023-09-10,LAX,0.12
2023-09-10,EKA,0
2023-09-10,DEMX,0.03
2023-09-10,CEC,0
2023-09-10,CAPS,0.01
2023-09-10,CADR,0.01
2023-09-10,8Q3,0
2023-09-09,VTU,0
2023-09-09,STS,0
2023-09-09,SRU,0.02
2023-09-09,SNA,0
2023-09-09,SMX,0
2023-09-09,SFOC,0
2023-09-09,SBA,0
2023-09-09,SAN,0
2023-09-09,OXR,0
2023-09-09,NFG,0
2023-09-09,MQO,0.05
2023-09-09,LGB,0
2023-09-09,LAX,0
2023-09-09,EKA,0
2023-09-09,DEMX,0.01
2023-09-09,CEC,0
2023-09-09,CAPS,0.04
2023-09-09,CADR,0.03
2023-09-09,8Q3,0
2023-09-08,VTU,0
2023-09-08,STS,0.02
2023-09-08,SRU,0.01
2023-09-08,SNA,0
2023-09-08,SMX,0
2023-09-08,SFOC,0
2023-09-08,SBA,0
2023-09-08,SAN,0
2023-09-08,OXR,0
2023-09-08,NFG,0
2023-09-08,MQO,0
2023-09-08,LGB,0
2023-09-08,LAX,0
2023-09-08,EKA,0
2023-09-08,DEMX,0.01
2023-09-08,CEC,0
2023-09-08,CAPS,0.01
2023-09-08,CADR,0.01
2023-09-08,8Q3,0
2023-09-07,VTU,0
2023-09-07,STS,0.01
2023-09-07,SRU,0
2023-09-07,SNA,0
2023-09-07,SMX,0
2023-09-07,SFOC,0
2023-09-07,SBA,0
2023-09-07,SAN,0
2023-09-07,OXR,0
2023-09-07,NFG,0
2023-09-07,MQO,0
2023-09-07,LGB,0
2023-09-07,LAX,0
2023-09-07,EKA,0
2023-09-07,DEMX,0
2023-09-07,CEC,0
2023-09-07,CAPS,0
2023-09-07,CADR,0
2023-09-07,8Q3,0
2023-09-06,VTU,0
2023-09-06,STS,0.01
2023-09-06,SRU,0
2023-09-06,SNA,0
2023-09-06,SMX,0
2023-09-06,SFOC,0
2023-09-06,SBA,0
2023-09-06,SAN,0
2023-09-06,OXR,0
2023-09-06,NFG,0
2023-09-06,MQO,0
2023-09-06,LGB,0
2023-09-06,LAX,0
2023-09-06,EKA,0
2023-09-06,DEMX,0
2023-09-06,CEC,0
2023-09-06,CAPS,0
2023-09-06,CADR,0
2023-09-06,8Q3,0
2023-09-05,VTU,0
2023-09-05,STS,0.01
