"Project Name","Latitude","Longitude","Project Footprint (Acres)","Drainage Area (Acres)","Actual Storage Capacity (Acre-feet)","Cumulative Volume Addressed (Acre-feet)","Actual Completion Date","Project Type","Capital Costs ($)","Cumulative O&M Costs ($)"
"Firestone Blvd Cooridor Enhancement",33.953531,-118.199012,NA,NA,NA,10.110026,"10/29/2019","Infiltration Well",3e+05,1500
"Firestone Blvd Street Improvements (CIP No. 15-14)",33.94708257,-118.1508353,NA,NA,NA,0.202824,"4/28/2020","Green Street, Biofiltration",2181640.25,310
"Florence Ave Widening Project",33.935198,-118.088343,NA,NA,NA,0,"9/1/2020","LID Retrofit, Bioretention",150000,0
"Foothill Project",34.10718,-117.72606,NA,NA,NA,NA,"7/21/2020","Green Street, Bioretention",8800000,132143
"Foothill Project",34.1071,-117.71911,NA,NA,NA,NA,"7/21/2020","Green Street, Bioretention",8800000,132143
"Foster Ave Drainage Improvements",34.072002,-117.971946,NA,NA,NA,0,"9/16/2023","Green Street, Biofiltration",293631.34,0
"Franklin D. Roosevelt Park Regional Stormwater Capture Project",33.969568,-118.241871,8,203,8.5,254.66,"4/29/2020","Regional Infiltration Gallery",9700000,1488506
"Garfield & Firestone Blvd",33.949085,-118.16509,NA,NA,NA,1.721034,"1/2/2017","Green Street, Biofiltration",75000,33500
"Garfield Ave Complete Street Improvement Project",33.9238542,-118.1691453,NA,NA,NA,0,"4/9/2024","Green Street, Bioretention",NA,NA
"Garfield Reservoir Replacement",34.122058,-118.145189,0,2.3,0.17,0,"7/2/2018","LID Retrofit, Biofiltration",0,1554.98
"Gates Canyon Stormwater Improvements Project",34.16101,-118.69221,NA,NA,NA,3.532648,"6/14/2023","Regional Treatment Facility",12877000,426331.45
"Glenoaks-Filmore Green Street",34.27672,-118.41476,1,115,0.11,113.89,"6/15/2021","Green Street, Bioretention",3240000,295595
"Glenoaks-Sunland Stormwater Capture",34.22999,-118.366534,0.02,302,0.11,107.85,"6/1/2014","Green Street, Bioretention",508696,153902
"Granada Parking Lot Improvements",33.757799,-118.143555,NA,NA,NA,29.516273,"1/30/2018","LID Retrofit, Bioretention",0,0
"Grand Avenue & Golden Springs Drive Widening Green Street Project",34.006668,-117.821715,NA,NA,NA,0,"5/31/2024","Green Street, Biofiltration",1402973,0
"Green Alley Project",34.20966,-118.210503,0.13,0.6,0.06,1.56,"4/6/2021","Green Street, Biofiltration",203550,14911
"Ham Park",33.9142,-118.189915,NA,NA,NA,0.810322,"1/1/2017","LID Retrofit, Biofiltration",0,0
"Harkness_Armour_GS project",33.85878406,-118.3810967,NA,NA,NA,2.618573,"4/7/2021","Green Street, Bioretention",24000,30000
"Harvard St/Loiuse St -- Proposition 84 Green Street",34.144455,-118.252609,0.003,7.18,0.7,24.35,"5/2/2017","LID Retrofit, Bioretention",1e+06,4602
"Hawthorne Boulevard Median Landscape Project",33.760855,-118.393576,NA,NA,NA,10.258829,"11/20/2020","Green Street, Bioretention",2115166,215990.56
"Henrietta Basin Enhancement",33.844986,-118.37183,NA,NA,NA,1749.184368,"8/20/2015","Regional Infiltration Gallery",1287320,255000
